admin2Name,admin2Pcod,Year,ET,ET_1,ET_2,ET_3,ET_4,ET_5,ET_6,ET_7,Avg_ET,PET,PET_1,PET_2,PET_3,PET_4,PET_5,PET_6,PET_7,Avg_PET
Mueang Tak,TH6301,2014,162.3805032776486,89.90107845210406,107.93645591034048,112.3262634806513,118.21332205540286,130.17060689363507,69.83197293296683,42.55271727637979,104.16411503489113,163.56692746880955,128.15605836329033,112.83780926200045,112.3262634806513,118.21332205540286,130.17060689363507,108.13842249947139,98.05098329456547,121.43254916472829
Ban Tak,TH6302,2014,162.4245197740113,81.98060263653484,104.20659133709981,111.1940866290019,117.43359698681732,130.0582297551789,72.88350282485875,21.72154425612053,100.2378342749529,162.4245197740113,126.53510357815442,111.51167608286252,111.1940866290019,117.43359698681732,130.0582297551789,107.01145009416196,96.46726930320152,120.32949152542373
Sam Ngao,TH6303,2014,162.99019221291277,64.38644652538197,85.50118284869394,112.65120749137508,118.67195662888123,130.92769837358304,72.38068013799902,22.27811729916215,96.22343518974866,162.99019221291277,128.80147856086742,113.14322326269098,112.65120749137508,118.67195662888123,130.92769837358304,106.37796944307541,95.67067520946279,121.15430014785609
Mae Ramat,TH6304,2014,151.35282352941178,114.98955882352942,97.84664705882356,101.60132352941177,110.36747058823532,127.59476470588234,71.75567647058823,32.91832352941177,101.05332352941178,151.35282352941178,115.25205882352942,97.84664705882356,101.60132352941177,110.36747058823532,127.59476470588234,105.64979411764708,96.56991176470588,113.27934926470589
Tha Song Yang,TH6305,2014,149.83636363636364,113.57272727272726,96.22,100.22545454545454,109.3218181818182,128.38,70.64727272727272,55.46,102.95795454545456,149.83636363636364,113.57272727272726,96.22,100.22545454545454,109.3218181818182,128.38,105.02000000000001,96.02,112.32454545454546
Mae Sot,TH6306,2014,150.2597437266418,112.91106513614523,95.60911639081688,99.66601708489054,109.07557394554195,126.83166043780037,73.0926855312333,53.29095034703683,102.59210157501334,150.2597437266418,112.91106513614523,95.60911639081688,99.66601708489054,109.07557394554195,126.83166043780037,107.81316070475177,97.55005339028295,112.4645488521089
Phop Phra,TH6307,2014,149.326211782252,111.97591349739001,95.23141312453394,99.29651379567487,107.92912005965697,124.31687173750932,72.96938851603281,56.108426547352714,102.14423238255033,149.326211782252,111.97591349739001,95.23141312453394,99.29651379567487,107.92912005965697,124.31687173750932,107.33467561521252,97.57071215510811,111.62267897091722
Umphang,TH6308,2014,151.17931769722816,112.90255863539447,95.5042643923241,100.60831556503199,108.38038379530917,123.58528784648189,73.13667377398721,56.779104477611945,102.75948827292112,151.17931769722816,112.90255863539447,95.5042643923241,100.60831556503199,108.38038379530917,123.58528784648189,107.42942430703627,97.68507462686567,112.15932835820895
Wang Chao,TH6309,2014,158.731330472103,118.55204838080377,108.28224736636756,109.25317986734298,115.65345298478348,128.82028872415137,75.0167772142021,53.24728833398361,108.44457666796725,160.41728443230588,123.71342177136171,108.28224736636756,109.25317986734298,115.65345298478348,128.82028872415137,108.8323058915334,98.95786188060866,119.24125536480685
Mueang Loei,TH4201,2014,136.78527746319367,128.94314835787088,117.84660249150622,118.96375990939978,114.19753680634201,98.82667044167611,63.03966591166478,40.48912797281994,102.38647366930917,164.3487259343148,130.1733295583239,117.84660249150622,118.96375990939978,114.19753680634201,126.34323329558323,100.22231030577576,94.54728199320499,120.83034753680637
